anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2024,13,01,quantile,0.01,1,4.701271982570805
2024,13,01,quantile,0.01,2,3.317472209150326
2024,13,01,quantile,0.01,3,1.985088782222222
2024,13,01,quantile,0.01,4,1.8677645803921568
2024,13,02,quantile,0.01,1,1.8857422189542483
2024,13,02,quantile,0.01,2,1.8310697725490197
2024,13,02,quantile,0.01,3,1.775090348888889
2024,13,02,quantile,0.01,4,1.7441879921568626
2024,13,03,quantile,0.01,1,1.906730040305011
2024,13,03,quantile,0.01,2,1.8458799163398694
2024,13,03,quantile,0.01,3,1.783575134074074
2024,13,03,quantile,0.01,4,1.749180985620915
2024,13,04,quantile,0.01,1,3.9387144734931003
2024,13,04,quantile,0.01,2,2.7793703180827882
2024,13,04,quantile,0.01,3,1.9388467029629628
2024,13,04,quantile,0.01,4,1.8405527660130718
2024,13,05,quantile,0.01,1,2.938294989106754
2024,13,05,quantile,0.01,2,2.0734201307189544
2024,13,05,quantile,0.01,3,1.8781804888888889
2024,13,05,quantile,0.01,4,1.8048528627450982
2024,13,06,quantile,0.01,1,2.728416775599128
2024,13,06,quantile,0.01,2,1.9887978039215686
2024,13,06,quantile,0.01,3,1.8654533111111111
2024,13,06,quantile,0.01,4,1.7973633725490197
2024,13,IT,quantile,0.01,1,3.567929629629629
2024,13,IT,quantile,0.01,2,2.517724444444444
2024,13,IT,quantile,0.01,3,1.9163620222222222
2024,13,IT,quantile,0.01,4,1.8273213333333334
2024,13,07,quantile,0.01,1,3.6448849745824248
2024,13,07,quantile,0.01,2,2.5720283050108925
2024,13,07,quantile,0.01,3,1.921028654074074
2024,13,07,quantile,0.01,4,1.830067479738562
2024,13,08,quantile,0.01,1,3.5189580464778496
2024,13,08,quantile,0.01,2,2.4831674422657946
2024,13,08,quantile,0.01,3,1.9133923474074073
2024,13,08,quantile,0.01,4,1.825573785620915
2024,13,09,quantile,0.01,1,4.428430305010893
2024,13,09,quantile,0.01,2,3.1249403398692808
2024,13,09,quantile,0.01,3,1.968543451111111
2024,13,09,quantile,0.01,4,1.8580282431372548
2024,13,10,quantile,0.01,1,3.546941808278867
2024,13,10,quantile,0.01,2,2.5029143006535945
2024,13,10,quantile,0.01,3,1.9150893044444444
2024,13,10,quantile,0.01,4,1.8265723843137256
2024,13,11,quantile,0.01,1,3.4629905228758164
2024,13,11,quantile,0.01,2,2.443673725490196
2024,13,11,quantile,0.01,3,1.909998433333333
2024,13,11,quantile,0.01,4,1.8235765882352941
2024,13,14,quantile,0.01,1,2.889323405954974
2024,13,14,quantile,0.01,2,2.0388631285403047
2024,13,14,quantile,0.01,3,1.875210814074074
2024,13,14,quantile,0.01,4,1.8031053150326797
2024,13,15,quantile,0.01,1,2.875331525054466
2024,13,15,quantile,0.01,2,2.028989699346405
2024,13,15,quantile,0.01,3,1.8743623355555554
2024,13,15,quantile,0.01,4,1.8026060156862744
2024,13,16,quantile,0.01,1,5.988525025417574
2024,13,16,quantile,0.01,2,4.225827694989107
2024,13,16,quantile,0.01,3,2.420992039506172
2024,13,16,quantile,0.01,4,1.913700120261438
2024,13,17,quantile,0.01,1,2.9872665722585325
2024,13,17,quantile,0.01,2,2.107977132897603
2024,13,17,quantile,0.01,3,1.8811501637037036
2024,13,17,quantile,0.01,4,1.8066004104575164
2024,13,18,quantile,0.01,1,3.476982403776325
2024,13,18,quantile,0.01,2,2.4535471546840952
2024,13,18,quantile,0.01,3,1.9108469118518516
2024,13,18,quantile,0.01,4,1.8240758875816994
2024,13,12,quantile,0.01,1,1.9529032472766885
2024,13,12,quantile,0.01,2,1.8784622326797384
2024,13,12,quantile,0.01,3,1.8022416614814813
2024,13,12,quantile,0.01,4,1.76016557124183
2024,13,13,quantile,0.01,1,1.934014208061002
2024,13,13,quantile,0.01,2,1.8651331032679739
2024,13,13,quantile,0.01,3,1.7946053548148149
2024,13,13,quantile,0.01,4,1.755671877124183
2024,13,19,quantile,0.01,1,5.603748300653594
2024,13,19,quantile,0.01,2,3.9543083921568623
2024,13,19,quantile,0.01,3,2.2654376444444435
2024,13,19,quantile,0.01,4,1.8999693882352942
2024,13,20,quantile,0.01,1,2.112774015976761
2024,13,20,quantile,0.01,2,1.92363317124183
2024,13,20,quantile,0.01,3,1.8281202562962964
2024,13,20,quantile,0.01,4,1.7753942013071895
2024,13,21,quantile,0.01,1,2.861339644153958
2024,13,21,quantile,0.01,2,2.019116270152505
2024,13,21,quantile,0.01,3,1.8735138570370369
2024,13,21,quantile,0.01,4,1.8021067163398694
2024,13,01,quantile,0.025,1,4.747323747276687
2024,13,01,quantile,0.025,2,3.391155032679738
2024,13,01,quantile,0.025,3,1.9991806222222221
2024,13,01,quantile,0.025,4,1.8843432156862745
2024,13,02,quantile,0.025,1,1.8875616748366013
2024,13,02,quantile,0.025,2,1.8339809019607842
2024,13,02,quantile,0.025,3,1.7788020388888888
2024,13,02,quantile,0.025,4,1.7485546862745098
2024,13,03,quantile,0.025,1,1.908755084422658
2024,13,03,quantile,0.025,2,1.8491199869281045
2024,13,03,quantile,0.025,3,1.787706224074074
2024,13,03,quantile,0.025,4,1.754041091503268
2024,13,04,quantile,0.025,1,3.97729653231663
2024,13,04,quantile,0.025,2,2.8411016122004353
2024,13,04,quantile,0.025,3,1.950652812962963
2024,13,04,quantile,0.025,4,1.8544423071895426
2024,13,05,quantile,0.025,1,2.96707734204793
2024,13,05,quantile,0.025,2,2.1194718954248364
2024,13,05,quantile,0.025,3,1.8869878888888887
2024,13,05,quantile,0.025,4,1.8152145098039216
2024,13,06,quantile,0.025,1,2.7551432461873633
2024,13,06,quantile,0.025,2,1.995212156862745
2024,13,06,quantile,0.025,3,1.873631611111111
2024,13,06,quantile,0.025,4,1.8069849019607844
2024,13,IT,quantile,0.025,1,3.602879629629629
2024,13,IT,quantile,0.025,2,2.573644444444444
2024,13,IT,quantile,0.025,3,1.9270567222222221
2024,13,IT,quantile,0.025,4,1.8399033333333334
2024,13,07,quantile,0.025,1,3.680588798111837
2024,13,07,quantile,0.025,2,2.629154422657952
2024,13,07,quantile,0.025,3,1.931954024074074
2024,13,07,quantile,0.025,4,1.8429208562091504
2024,13,08,quantile,0.025,1,3.553428340595497
2024,13,08,quantile,0.025,2,2.53831991285403
2024,13,08,quantile,0.025,3,1.9239402574074074
2024,13,08,quantile,0.025,4,1.837983091503268
2024,13,09,quantile,0.025,1,4.471809422657952
2024,13,09,quantile,0.025,2,3.194346928104575
2024,13,09,quantile,0.025,3,1.981817461111111
2024,13,09,quantile,0.025,4,1.8736447254901962
2024,13,10,quantile,0.025,1,3.581686220043573
2024,13,10,quantile,0.025,2,2.558505359477124
2024,13,10,quantile,0.025,3,1.9257210944444445
2024,13,10,quantile,0.025,4,1.8390803725490197
2024,13,11,quantile,0.025,1,3.496912581699346
2024,13,11,quantile,0.025,2,2.497949019607843
2024,13,11,quantile,0.025,3,1.9203785833333333
2024,13,11,quantile,0.025,4,1.8357885294117646
2024,13,14,quantile,0.025,1,2.9176260530137976
2024,13,14,quantile,0.025,2,2.0841473638344223
2024,13,14,quantile,0.025,3,1.8838714240740742
2024,13,14,quantile,0.025,4,1.8132942679738562
2024,13,15,quantile,0.025,1,2.9034971132897605
2024,13,15,quantile,0.025,2,2.074054640522876
2024,13,15,quantile,0.025,3,1.8829810055555556
2024,13,15,quantile,0.025,4,1.8127456274509803
2024,13,16,quantile,0.025,1,6.047186201888162
2024,13,16,quantile,0.025,2,4.319685577342048
2024,13,16,quantile,0.025,3,2.540660839506173
2024,13,16,quantile,0.025,4,1.9348181437908498
2024,13,17,quantile,0.025,1,3.016528631082062
2024,13,17,quantile,0.025,2,2.15479642701525
2024,13,17,quantile,0.025,3,1.8901043537037037
2024,13,17,quantile,0.025,4,1.8171347516339869
2024,13,18,quantile,0.025,1,3.511041521423384
2024,13,18,quantile,0.025,2,2.5080417429193895
2024,13,18,quantile,0.025,3,1.9212690018518517
2024,13,18,quantile,0.025,4,1.8363371699346405
2024,13,12,quantile,0.025,1,1.9553805855119826
2024,13,12,quantile,0.025,2,1.882425973856209
2024,13,12,quantile,0.025,3,1.8072954314814815
2024,13,12,quantile,0.025,4,1.766111183006536
2024,13,13,quantile,0.025,1,1.9363065168845315
2024,13,13,quantile,0.025,2,1.8688007973856209
2024,13,13,quantile,0.025,3,1.7992816648148149
2024,13,13,quantile,0.025,4,1.7611734183006535
2024,13,19,quantile,0.025,1,5.658640359477124
2024,13,19,quantile,0.025,2,4.042135686274509
2024,13,19,quantile,0.025,3,2.377417444444444
2024,13,19,quantile,0.025,4,1.9197305294117648
2024,13,20,quantile,0.025,1,2.133469898329702
2024,13,20,quantile,0.025,2,1.928600183006536
2024,13,20,quantile,0.025,3,1.8344531962962962
2024,13,20,quantile,0.025,4,1.7828447189542485
2024,13,21,quantile,0.025,1,2.8893681735657224
2024,13,21,quantile,0.025,2,2.063961917211329
2024,13,21,quantile,0.025,3,1.882090587037037
2024,13,21,quantile,0.025,4,1.8121969869281047
2024,13,01,quantile,0.05,1,4.824076688453157
2024,13,01,quantile,0.05,2,3.513959738562091
2024,13,01,quantile,0.05,3,2.151113481481481
2024,13,01,quantile,0.05,4,1.911974274509804
2024,13,02,quantile,0.05,1,1.8905941013071894
2024,13,02,quantile,0.05,2,1.8388327843137255
2024,13,02,quantile,0.05,3,1.7849881888888888
2024,13,02,quantile,0.05,4,1.7558325098039216
2024,13,03,quantile,0.05,1,1.9121301579520695
2024,13,03,quantile,0.05,2,1.8545201045751634
2024,13,03,quantile,0.05,3,1.794591374074074
2024,13,03,quantile,0.05,4,1.7621412679738562
2024,13,04,quantile,0.05,1,4.041599963689179
2024,13,04,quantile,0.05,2,2.9439871023965134
2024,13,04,quantile,0.05,3,1.9703296629629627
2024,13,04,quantile,0.05,4,1.87759154248366
2024,13,05,quantile,0.05,1,3.0150479302832243
2024,13,05,quantile,0.05,2,2.1962248366013073
2024,13,05,quantile,0.05,3,1.9016668888888888
2024,13,05,quantile,0.05,4,1.8324839215686275
2024,13,06,quantile,0.05,1,2.799687363834422
2024,13,06,quantile,0.05,2,2.0393516339869278
2024,13,06,quantile,0.05,3,1.8872621111111112
2024,13,06,quantile,0.05,4,1.8230207843137256
2024,13,IT,quantile,0.05,1,3.661129629629629
2024,13,IT,quantile,0.05,2,2.666844444444444
2024,13,IT,quantile,0.05,3,1.944881222222222
2024,13,IT,quantile,0.05,4,1.8608733333333334
2024,13,07,quantile,0.05,1,3.7400951706608563
2024,13,07,quantile,0.05,2,2.724364618736383
2024,13,07,quantile,0.05,3,1.950162974074074
2024,13,07,quantile,0.05,4,1.8643431503267975
2024,13,08,quantile,0.05,1,3.6108788307915756
2024,13,08,quantile,0.05,2,2.6302406971677557
2024,13,08,quantile,0.05,3,1.9415201074074073
2024,13,08,quantile,0.05,4,1.8586652679738562
2024,13,09,quantile,0.05,1,4.544107952069716
2024,13,09,quantile,0.05,2,3.3100245751633985
2024,13,09,quantile,0.05,3,2.0262720740740736
2024,13,09,quantile,0.05,4,1.8996721960784315
2024,13,10,quantile,0.05,1,3.639593572984749
2024,13,10,quantile,0.05,2,2.6511571241830065
2024,13,10,quantile,0.05,3,1.9434407444444444
2024,13,10,quantile,0.05,4,1.8599270196078432
2024,13,11,quantile,0.05,1,3.553449346405228
2024,13,11,quantile,0.05,2,2.5884078431372544
2024,13,11,quantile,0.05,3,1.9376788333333332
2024,13,11,quantile,0.05,4,1.8561417647058824
2024,13,14,quantile,0.05,1,2.96479713144517
2024,13,14,quantile,0.05,2,2.1596210893246184
2024,13,14,quantile,0.05,3,1.8983057740740739
2024,13,14,quantile,0.05,4,1.8302758562091503
2024,13,15,quantile,0.05,1,2.9504397603485835
2024,13,15,quantile,0.05,2,2.1491628758169936
2024,13,15,quantile,0.05,3,1.8973454555555556
2024,13,15,quantile,0.05,4,1.8296449803921568
2024,13,16,quantile,0.05,1,6.1449548293391425
2024,13,16,quantile,0.05,2,4.476115381263616
2024,13,16,quantile,0.05,3,2.7401088395061723
2024,13,16,quantile,0.05,4,1.9700148496732028
2024,13,17,quantile,0.05,1,3.0652987291212774
2024,13,17,quantile,0.05,2,2.2328285838779953
2024,13,17,quantile,0.05,3,1.9050280037037037
2024,13,17,quantile,0.05,4,1.8346919869281044
2024,13,18,quantile,0.05,1,3.5678067175018153
2024,13,18,quantile,0.05,2,2.59886605664488
2024,13,18,quantile,0.05,3,1.9386391518518518
2024,13,18,quantile,0.05,4,1.856772640522876
2024,13,12,quantile,0.05,1,1.9595094825708061
2024,13,12,quantile,0.05,2,1.8890322091503267
2024,13,12,quantile,0.05,3,1.8157183814814815
2024,13,12,quantile,0.05,4,1.7760205359477124
2024,13,13,quantile,0.05,1,1.940127031590414
2024,13,13,quantile,0.05,2,1.8749136209150326
2024,13,13,quantile,0.05,3,1.8070755148148145
2024,13,13,quantile,0.05,4,1.7703426535947713
2024,13,19,quantile,0.05,1,5.750127124183006
2024,13,19,quantile,0.05,2,4.188514509803921
2024,13,19,quantile,0.05,3,2.5640504444444434
2024,13,19,quantile,0.05,4,1.9526657647058825
2024,13,20,quantile,0.05,1,2.167963035584604
2024,13,20,quantile,0.05,2,1.9368785359477123
2024,13,20,quantile,0.05,3,1.8450080962962963
2024,13,20,quantile,0.05,4,1.795262248366013
2024,13,21,quantile,0.05,1,2.9360823892519967
2024,13,21,quantile,0.05,2,2.138704662309368
2024,13,21,quantile,0.05,3,1.8963851370370368
2024,13,21,quantile,0.05,4,1.8290141045751636
2024,13,01,quantile,0.1,1,4.977582570806099
2024,13,01,quantile,0.1,2,3.7595691503267967
2024,13,01,quantile,0.1,3,2.4642654814814815
2024,13,01,quantile,0.1,4,1.9672363921568627
2024,13,02,quantile,0.1,1,1.896658954248366
2024,13,02,quantile,0.1,2,1.8485365490196077
2024,13,02,quantile,0.1,3,1.7973604888888888
2024,13,02,quantile,0.1,4,1.770388156862745
2024,13,03,quantile,0.1,1,1.9188803050108931
2024,13,03,quantile,0.1,2,1.865320339869281
2024,13,03,quantile,0.1,3,1.808361674074074
2024,13,03,quantile,0.1,4,1.7783416209150327
2024,13,04,quantile,0.1,1,4.170206826434277
2024,13,04,quantile,0.1,2,3.1497580827886704
2024,13,04,quantile,0.1,3,2.0645557530864194
2024,13,04,quantile,0.1,4,1.9238900130718954
2024,13,05,quantile,0.1,1,3.1109891067538125
2024,13,05,quantile,0.1,2,2.3497307189542482
2024,13,05,quantile,0.1,3,1.9310248888888888
2024,13,05,quantile,0.1,4,1.8670227450980392
2024,13,06,quantile,0.1,1,2.88877559912854
2024,13,06,quantile,0.1,2,2.1818928104575157
2024,13,06,quantile,0.1,3,1.914523111111111
2024,13,06,quantile,0.1,4,1.855092549019608
2024,13,IT,quantile,0.1,1,3.777629629629629
2024,13,IT,quantile,0.1,2,2.853244444444444
2024,13,IT,quantile,0.1,3,1.980530222222222
2024,13,IT,quantile,0.1,4,1.9028133333333335
2024,13,07,quantile,0.1,1,3.8591079157588957
2024,13,07,quantile,0.1,2,2.9147850108932456
2024,13,07,quantile,0.1,3,1.986580874074074
2024,13,07,quantile,0.1,4,1.9071877385620915
2024,13,08,quantile,0.1,1,3.7257798111837324
2024,13,08,quantile,0.1,2,2.8140822657952063
2024,13,08,quantile,0.1,3,1.9766798074074075
2024,13,08,quantile,0.1,4,1.9000296209150327
2024,13,09,quantile,0.1,1,4.688705010893246
2024,13,09,quantile,0.1,2,3.5413798692810454
2024,13,09,quantile,0.1,3,2.3212500740740736
2024,13,09,quantile,0.1,4,1.951727137254902
2024,13,10,quantile,0.1,1,3.755408278867102
2024,13,10,quantile,0.1,2,2.836460653594771
2024,13,10,quantile,0.1,3,1.9788800444444443
2024,13,10,quantile,0.1,4,1.9016203137254903
2024,13,11,quantile,0.1,1,3.6665228758169928
2024,13,11,quantile,0.1,2,2.769325490196078
2024,13,11,quantile,0.1,3,1.9722793333333333
2024,13,11,quantile,0.1,4,1.8968482352941176
2024,13,14,quantile,0.1,1,3.0591392883079154
2024,13,14,quantile,0.1,2,2.3105685403050105
2024,13,14,quantile,0.1,3,1.9271744740740742
2024,13,14,quantile,0.1,4,1.8642390326797385
2024,13,15,quantile,0.1,1,3.044325054466231
2024,13,15,quantile,0.1,2,2.2993793464052286
2024,13,15,quantile,0.1,3,1.9260743555555555
2024,13,15,quantile,0.1,4,1.8634436862745098
2024,13,16,quantile,0.1,1,6.340492084241103
2024,13,16,quantile,0.1,2,4.7889749891067535
2024,13,16,quantile,0.1,3,3.1390048395061725
2024,13,16,quantile,0.1,4,2.269388409586057
2024,13,17,quantile,0.1,1,3.1628389251997087
2024,13,17,quantile,0.1,2,2.388892897603485
2024,13,17,quantile,0.1,3,1.9348753037037036
2024,13,17,quantile,0.1,4,1.86980645751634
2024,13,18,quantile,0.1,1,3.6813371096586778
2024,13,18,quantile,0.1,2,2.78051468409586
2024,13,18,quantile,0.1,3,1.9733794518518517
2024,13,18,quantile,0.1,4,1.8976435816993464
2024,13,12,quantile,0.1,1,1.967767276688453
2024,13,12,quantile,0.1,2,1.902244679738562
2024,13,12,quantile,0.1,3,1.8325642814814813
2024,13,12,quantile,0.1,4,1.7958392418300653
2024,13,13,quantile,0.1,1,1.9477680610021786
2024,13,13,quantile,0.1,2,1.8871392679738563
2024,13,13,quantile,0.1,3,1.8226632148148147
2024,13,13,quantile,0.1,4,1.7886811241830065
2024,13,19,quantile,0.1,1,5.933100653594771
2024,13,19,quantile,0.1,2,4.481272156862745
2024,13,19,quantile,0.1,3,2.937316444444444
2024,13,19,quantile,0.1,4,2.1235749019607844
2024,13,20,quantile,0.1,1,2.236949310094408
2024,13,20,quantile,0.1,2,1.9534352418300653
2024,13,20,quantile,0.1,3,1.8661178962962963
2024,13,20,quantile,0.1,4,1.8200973071895425
2024,13,21,quantile,0.1,1,3.029510820624546
2024,13,21,quantile,0.1,2,2.2881901525054467
2024,13,21,quantile,0.1,3,1.9249742370370369
2024,13,21,quantile,0.1,4,1.862648339869281
2024,13,01,quantile,0.15,1,5.13108845315904
2024,13,01,quantile,0.15,2,4.005178562091503
2024,13,01,quantile,0.15,3,2.7774174814814816
2024,13,01,quantile,0.15,4,2.1499900653594777
2024,13,02,quantile,0.15,1,1.9027238071895425
2024,13,02,quantile,0.15,2,1.8582403137254901
2024,13,02,quantile,0.15,3,1.8097327888888888
2024,13,02,quantile,0.15,4,1.7849438039215686
2024,13,03,quantile,0.15,1,1.9256304520697167
2024,13,03,quantile,0.15,2,1.8761205751633987
2024,13,03,quantile,0.15,3,1.822131974074074
2024,13,03,quantile,0.15,4,1.7945419738562092
2024,13,04,quantile,0.15,1,4.298813689179375
2024,13,04,quantile,0.15,2,3.3555290631808274
2024,13,04,quantile,0.15,3,2.3269137530864197
2024,13,04,quantile,0.15,4,1.9701884836601309
2024,13,05,quantile,0.15,1,3.2069302832244007
2024,13,05,quantile,0.15,2,2.5032366013071896
2024,13,05,quantile,0.15,3,1.9603828888888888
2024,13,05,quantile,0.15,4,1.901561568627451
2024,13,06,quantile,0.15,1,2.9778638344226573
2024,13,06,quantile,0.15,2,2.3244339869281045
2024,13,06,quantile,0.15,3,1.9417841111111112
2024,13,06,quantile,0.15,4,1.8871643137254903
2024,13,IT,quantile,0.15,1,3.894129629629629
2024,13,IT,quantile,0.15,2,3.039644444444444
2024,13,IT,quantile,0.15,3,2.1078614814814816
2024,13,IT,quantile,0.15,4,1.9447533333333333
2024,13,07,quantile,0.15,1,3.978120660856935
2024,13,07,quantile,0.15,2,3.1052054030501086
2024,13,07,quantile,0.15,3,2.153325160493827
2024,13,07,quantile,0.15,4,1.9500323267973858
2024,13,08,quantile,0.15,1,3.840680791575889
2024,13,08,quantile,0.15,2,2.9979238344226578
2024,13,08,quantile,0.15,3,2.0789300493827163
2024,13,08,quantile,0.15,4,1.9413939738562092
2024,13,09,quantile,0.15,1,4.833302069716775
2024,13,09,quantile,0.15,2,3.7727351633986927
2024,13,09,quantile,0.15,3,2.616228074074074
2024,13,09,quantile,0.15,4,2.025213856209151
2024,13,10,quantile,0.15,1,3.8712229847494553
2024,13,10,quantile,0.15,2,3.021764183006536
2024,13,10,quantile,0.15,3,2.0954622962962963
2024,13,10,quantile,0.15,4,1.9433136078431374
2024,13,11,quantile,0.15,1,3.779596405228758
2024,13,11,quantile,0.15,2,2.950243137254902
2024,13,11,quantile,0.15,3,2.0458655555555554
2024,13,11,quantile,0.15,4,1.937554705882353
2024,13,14,quantile,0.15,1,3.1534814451706605
2024,13,14,quantile,0.15,2,2.4615159912854025
2024,13,14,quantile,0.15,3,1.956043174074074
2024,13,14,quantile,0.15,4,1.8982022091503268
2024,13,15,quantile,0.15,1,3.138210348583878
2024,13,15,quantile,0.15,2,2.4495958169934644
2024,13,15,quantile,0.15,3,1.9548032555555555
2024,13,15,quantile,0.15,4,1.8972423921568629
2024,13,16,quantile,0.15,1,6.536029339143065
2024,13,16,quantile,0.15,2,5.1018345969498915
2024,13,16,quantile,0.15,3,3.537900839506173
2024,13,16,quantile,0.15,4,2.738677821350764
2024,13,17,quantile,0.15,1,3.2603791212781403
2024,13,17,quantile,0.15,2,2.544957211328976
2024,13,17,quantile,0.15,3,1.9647226037037038
2024,13,17,quantile,0.15,4,1.9049209281045751
2024,13,18,quantile,0.15,1,3.7948675018155407
2024,13,18,quantile,0.15,2,2.9621633115468406
2024,13,18,quantile,0.15,3,2.054131679012346
2024,13,18,quantile,0.15,4,1.938514522875817
2024,13,12,quantile,0.15,1,1.9760250708061002
2024,13,12,quantile,0.15,2,1.9154571503267974
2024,13,12,quantile,0.15,3,1.8494101814814814
2024,13,12,quantile,0.15,4,1.8156579477124184
2024,13,13,quantile,0.15,1,1.9554090904139434
2024,13,13,quantile,0.15,2,1.8993649150326797
2024,13,13,quantile,0.15,3,1.838250914814815
2024,13,13,quantile,0.15,4,1.807019594771242
2024,13,19,quantile,0.15,1,6.1160741830065355
2024,13,19,quantile,0.15,2,4.774029803921568
2024,13,19,quantile,0.15,3,3.310582444444444
2024,13,19,quantile,0.15,4,2.5627113725490207
2024,13,20,quantile,0.15,1,2.305935584604212
2024,13,20,quantile,0.15,2,1.9699919477124184
2024,13,20,quantile,0.15,3,1.8872276962962964
2024,13,20,quantile,0.15,4,1.8449323660130719
2024,13,21,quantile,0.15,1,3.122939251997095
2024,13,21,quantile,0.15,2,2.437675642701525
2024,13,21,quantile,0.15,3,1.9535633370370369
2024,13,21,quantile,0.15,4,1.896282575163399
2024,13,01,quantile,0.2,1,5.284594335511981
2024,13,01,quantile,0.2,2,4.250787973856209
2024,13,01,quantile,0.2,3,3.0905694814814817
2024,13,01,quantile,0.2,4,2.5184041830065365
2024,13,02,quantile,0.2,1,1.908788660130719
2024,13,02,quantile,0.2,2,1.8679440784313726
2024,13,02,quantile,0.2,3,1.8221050888888888
2024,13,02,quantile,0.2,4,1.799499450980392
2024,13,03,quantile,0.2,1,1.9323805991285403
2024,13,03,quantile,0.2,2,1.8869208104575164
2024,13,03,quantile,0.2,3,1.835902274074074
2024,13,03,quantile,0.2,4,1.8107423267973857
2024,13,04,quantile,0.2,1,4.427420551924473
2024,13,04,quantile,0.2,2,3.5613000435729845
2024,13,04,quantile,0.2,3,2.58927175308642
2024,13,04,quantile,0.2,4,2.1099130283224405
2024,13,05,quantile,0.2,1,3.302871459694989
2024,13,05,quantile,0.2,2,2.656742483660131
2024,13,05,quantile,0.2,3,1.989740888888889
2024,13,05,quantile,0.2,4,1.9361003921568627
2024,13,06,quantile,0.2,1,3.066952069716775
2024,13,06,quantile,0.2,2,2.4669751633986925
2024,13,06,quantile,0.2,3,1.9690451111111111
2024,13,06,quantile,0.2,4,1.9192360784313727
2024,13,IT,quantile,0.2,1,4.010629629629629
2024,13,IT,quantile,0.2,2,3.226044444444444
2024,13,IT,quantile,0.2,3,2.3455214814814815
2024,13,IT,quantile,0.2,4,1.9866933333333334
2024,13,07,quantile,0.2,1,4.097133405954974
2024,13,07,quantile,0.2,2,3.2956257952069716
2024,13,07,quantile,0.2,3,2.3961111604938274
2024,13,07,quantile,0.2,4,1.9928769150326797
2024,13,08,quantile,0.2,1,3.955581771968046
2024,13,08,quantile,0.2,2,3.1817654030501084
2024,13,08,quantile,0.2,3,2.313328049382716
2024,13,08,quantile,0.2,4,1.9827583267973856
2024,13,09,quantile,0.2,1,4.9778991285403045
2024,13,09,quantile,0.2,2,4.004090457516339
2024,13,09,quantile,0.2,3,2.911206074074074
2024,13,09,quantile,0.2,4,2.3722467973856216
2024,13,10,quantile,0.2,1,3.987037690631808
2024,13,10,quantile,0.2,2,3.2070677124183007
2024,13,10,quantile,0.2,3,2.3317242962962963
2024,13,10,quantile,0.2,4,1.9850069019607843
2024,13,11,quantile,0.2,1,3.8926699346405225
2024,13,11,quantile,0.2,2,3.1311607843137255
2024,13,11,quantile,0.2,3,2.2765355555555558
2024,13,11,quantile,0.2,4,1.9782611764705884
2024,13,14,quantile,0.2,1,3.2478236020334057
2024,13,14,quantile,0.2,2,2.612463442265795
2024,13,14,quantile,0.2,3,1.984911874074074
2024,13,14,quantile,0.2,4,1.932165385620915
2024,13,15,quantile,0.2,1,3.232095642701525
2024,13,15,quantile,0.2,2,2.5998122875816994
2024,13,15,quantile,0.2,3,1.9835321555555556
2024,13,15,quantile,0.2,4,1.9310410980392159
2024,13,16,quantile,0.2,1,6.7315665940450256
2024,13,16,quantile,0.2,2,5.414694204793029
2024,13,16,quantile,0.2,3,3.936796839506173
2024,13,16,quantile,0.2,4,3.2079672331154696
